Gene_1,Gene_2
RASGEF1B,NOCT
RASGEF1B,ANXA5
RASSF6,PCDH18
RASSF6,FAM47E
RASSF6,CDS1
RASSF6,GPRIN3
RASSF6,ANXA5
RASSF6,FAM13A
RNF150,CDS1
RNF150,SMAD1
RNF150,PTPN13
RNF150,MCUB
RNF150,NPNT
RPL34,COPS4
RPL34,SCOC
RPL34,NDUFC1
RPL34,ABRAXAS1
RPL34,PDE5A
RPL34,DNAJB14
RPL34,SNHG8
RPL34,ANKRD50
RPL34,CNOT6L
RPL34,OSTC
RPL34,CISD2
RPL34,CCNI
RPL34,WDFY3-AS2
RPL34,SHROOM3
RPL34,SLC39A8
RPL34,ABCE1
RPL34,LINC02615
SCARB2,IL15
SCARB2,PGRMC2
SCARB2,ARHGAP24
SCARB2,DAPP1
SCARB2,ADH1C
SCARB2,ANKRD50
SCARB2,DNAJB14
SCARB2,G3BP2
SCARB2,SPARCL1
SCARB2,ANTXR2
SCD5,SHROOM3
SCD5,SLC39A8
SCD5,PPP3CA
SCD5,PRKG2
SCD5,LIN54
SCD5,FAM13A
SCD5,C4orf3
SCD5,ARSJ
SCD5,ALPK1
SCD5,TMEM150C
SCD5,ABHD18
SCD5,PLAC8
SCD5,ADH1B
SCD5,ANXA3
SCD5,LARP1B
SCD5,USO1
SCD5,NDNF
SCLT1,PARM1
SCLT1,NDNF
SCLT1,TNIP3
SCLT1,BTC
SCLT1,HHIP
SCLT1,NFKB1
SCLT1,BLTP1
SCLT1,HADH
SCLT1,CXCL5
SCLT1,PGRMC2
SCLT1,OTUD4
SCLT1,BMP3
SCLT1,CDS1
SCLT1,HHIP-AS1
SCLT1,ANXA3
SCLT1,CCNI
SCLT1,SLC39A8
SCLT1,LARP7
SCOC,DAPP1
SCOC,ELMOD2
SCOC,ADH1B
SCOC,ADH5
SCOC,C4orf3
SDAD1,MRPL1
SDAD1,UBE2D3
SEC24B,INTU
SEC24B,ARHGAP24
SEC24B,MMRN1
SEC24D,PRKG2
SEC24D,H2AZ1
SEC24D,ADH5
SEC24D,OSTC
SEC24D,FGF2
SEC24D,USO1
SEC31A,ZGRF1
SEC31A,HNRNPD
SEC31A,LARP7
SEC31A,SEC24D
SEC31A,C4orf3
SEC31A,GPRIN3
SEC31A,LSM6
SEC31A,ABHD18
SEC31A,SEPTIN11
SEPTIN11,GPRIN3
SEPTIN11,ANXA5
SEPTIN7P14,GTF2IP12
SEPTIN7P14,ANXA5
SEPTIN7P14,INTU
SEPTIN7P14,C4orf3
SETD7,SPRY1
SETD7,CDKL2
SETD7,FAT4
SETD7,HHIP
SETD7,SYNPO2
SETD7,CFI
SETD7,G3BP2
SETD7,NAA15
SETD7,FAM47E
SETD7,SMAD1
SETD7,LARP1B
SETD7,SEPTIN11
SETD7,ANXA3
SETD7,PLAC8
SETD7,CDS1
