Gene_1,Gene_2
NAP1L5,TIGD2
NAP1L5,UNC5C
NDNF,FAM13A
NDNF,LIN54
NDNF,PRKG2
NDNF,FAM47E
NDNF,SLC39A8
NDNF,ANKRD50
NDNF,ARSJ
NDUFC1,PPP3CA
NDUFC1,AFF1
NDUFC1,DAPP1
NDUFC1,FLJ20021
NDUFC1,ZGRF1
NDUFC1,LINC01094
NDUFC1,BMP2K
NDUFC1,GPRIN3
NDUFC1,CCNI
NDUFC1,C4orf3
NDUFC1,CNOT6L
NDUFC1,BLTP1
NDUFC1,LSM6
NDUFC1,ABHD18
NDUFC1,ALPK1
NDUFC1,SNHG8
NDUFC1,SMARCAD1
NDUFC1,DNAJB14
NDUFC1,MFSD8
NDUFC1,LIN54
NDUFC1,GTF2IP12
NFKB1,PYURF
NFKB1,OTUD4
NFKB1,SEC24B
NFKB1,RAB33B
NFKB1,CISD2
NPNT,ARHGAP24
NUDT6,NOCT
NUDT6,PGRMC2
NUDT6,OTUD4
NUDT6,GPAT3
NUDT9,SLC39A8
NUP54,PPM1K
NUP54,THAP9-AS1
NUP54,PKD2
NUP54,UBE2D3
NUP54,MCUB
NUP54,PAQR3
NUP54,LINC01094
NUP54,OTUD4
NUP54,BLTP1
NUP54,USP53
OSTC,LAMTOR3
OSTC,PYURF
OSTC,INTU
OSTC,SEC24B
OSTC,MAPK10
OSTC,CDKL2
OSTC,MGST2
OSTC,PPM1K
OSTC,ARHGEF38
OSTC,AREG
OSTC,GTF2IP12
OSTC,LARP1B
OSTC,PAQR3
OSTC,CISD2
OSTC,SEPTIN7P14
OTUD4,PGRMC2
OTUD4,AFF1
OTUD4,MGST2
OTUD4,CDKL2
PAPSS1,SCD5
PAPSS1,ABHD18
PAPSS1,SEC24D
PAPSS1,LARP1B
PAPSS1,PLAC8
PAPSS1,ARHGEF38
PAQR3,PCDH18
PAQR3,MGST2
PAQR3,ADH1C
PARM1,FGF2
PARM1,KLHL8
PARM1,ELF2
PARM1,CDS1
PARM1,CDKL2
PARM1,PPM1K
PARM1,ARHGEF38
PARM1,PCDH18
PARM1,SMARCA5
PARM1,PTPN13
PARM1,MAML3
PCDH18,NOCT
PDE5A,PCDH18
PDE5A,MAPK10
PDE5A,USO1
PDE5A,ANKRD50
PDE5A,NDNF
PDE5A,CYP2U1
PDE5A,UNC5C
