protein1,protein2
CXCL1,SDC1
CXCL1,CXCL2
CXCL1,IL10
CXCL1,CCL20
CXCL1,CCL3
CXCL1,CCL22
CXCL1,TNF
CXCL1,CXCL3
CXCL1,CCL3L3
CXCL1,CXCL10
CXCL1,CSF2
CXCL1,CXCR1
CXCL1,CCL2
CXCL1,CCL4
CXCL1,IL1A
CXCL1,IL12B
CXCL1,CCR2
CXCL1,CX3CR1
CXCL1,LIF
CXCL1,IL18
CXCL1,IL12A
CXCL1,CSF3
CXCL1,CXCR2
CXCL1,IL1B
CXCL1,IL6
CXCL1,CXCR4
CXCL1,CCL5
APIP,ENOPH1
CXCL12,PF4
TNRC6A,EIF4E
MPRIP,CAMK2D
RAE1,HSPA4L
RAE1,NUP54
RAE1,EIF4E
BMP7,SMAD1
GLI3,INTU
NFATC2,PPP3CA
RPS29,ABCE1
RPS29,MRPL1
RPS29,RPL34
ITGB1,NPNT
ITGB1,SPP1
FAF1,PTPN13
RPL14,RPL34
MGST1,MGST2
CYP19A1,HSD17B11
ADHFE1,ADH5
RPS8,MRPL1
RPS8,ABCE1
RPS8,RPL34
UBE2E2,UBE2D3
ILK,LEF1
ING4,JADE1
EAF1,AFF1
SLC38A9,EIF4E
SLC38A9,LAMTOR3
UBE2G1,UBE2D3
ITGA4,SPP1
SMU1,LSM6
IL15RA,IL15
RPL23L,MRPS18C
PTK2B,SPP1
EIF4ENIF1,EIF4E
KDM7A,CAMK2D
MCM3AP,MAD2L1
PPP3CC,PPP3CA
CEP83,SCLT1
ITGB2,NFKB1
KIAA0020,SDAD1
INTS10,INTS12
MAP2K7,MAPK10
EPHB1,PTPN13
AGPAT3,CDS1
CTDSP2,SMAD1
KHSRP,CXCL8
KHSRP,HNRNPD
PPAPDC1A,CDS1
CABIN1,PPP3CA
CAMK2A,CAMK2D
FGFRL1,FGF2
PRPS2,NUDT9
MX1,HERC6
MX1,HERC5
GSTP1,ADH5
HMGCLL1,BDH2
DOT1L,AFF1
UBE2D2,RCHY1
UBE2D2,NFKB1
SEC24A,SEC24D
SEC24A,SEC31A
SEC24A,SEC24B
DYRK1A,LIN54
KSR1,CAMK2D
ALKBH5,METTL14
MRPS6,MRPS18C
ABCC1,ABCG2
ANKRD28,SEC24B
ANKRD28,GAR1
ANKRD28,SEC24D
MAP3K1,SPP1
MAP3K1,DAPP1
ROCK1,GAB1
SEH1L,HSPA4L
SEH1L,LAMTOR3
SEH1L,NUP54
SEH1L,EIF4E
RUNX3,SPP1
DDX3X,EIF4E
SNRPN,LSM6
FKBP1A,SNCA
FKBP1A,EIF4E
FKBP1A,PPP3CA
DEPDC5,LAMTOR3
CDC42,HPGDS
CDC42,MAPK10
CDC42,SPP1
EIF4G3,EIF4E
EIF4G3,CASP6
UBE2J2,UBE2D3
NHP2L1,GAR1
NHP2L1,LSM6
POMC,FGF2
CUL4B,COPS4
GATSL3,LAMTOR3
PSME4,NFKB1
PSME4,HNRNPD
HPSE,SDC1
HPSE,GPC4
HPSE,AGRN
HPSE,IDS
HPSE,HSPG2
HPSE,SDC3
HPSE,SDC2
HPSE,GPC1
HPSE,GPC5
HPSE,GPC2
HPSE,SDC4
HPSE,GPC6
HPSE,HGS
HPSE,GPC3
RELA,CXCL2
RELA,NFKB1
RELA,CXCL8
RELA,SETD7
WDR43,ABCE1
WDR43,SDAD1
BCL6,DAPP1
HYPK,NAA15
NLK,LEF1
MTMR3,INPP4B
CDKN1A,CCNA2
CDKN1A,ANAPC10
XPO1,NFKB1
SAA1,NFKB1
SAA1,FGF2
MRPS12,MRPS18C
MAD1L1,MAD2L1
SAR1B,SEC24B
SAR1B,SEC24D
SAR1B,SEC31A
IL6,FGF2
IL6,GAB1
IL6,CXCL1
IL6,CXCL2
IL6,CXCL8
IL6,NFKB1
IL6,CXCL10
INTS1,INTS12
FOXO3,MAPK10
FOXO3,CCNG2
FOXO3,TET2
RPS14,RPL34
RPS14,ABCE1
NGDN,EIF4E
HEPN1,ANXA5
PSMB11,HNRNPD
PSMB11,NFKB1
IL1R1,NFKB1
SAG,MAPK10
ZC3H8,LARP7
SMPD4,SGMS2
PSMD14,HNRNPD
PSMD14,NFKB1
RPL36A-HNRNPH2,RPL34
RPL31,RPL34
RPL31,MRPL1
UBE2E3,UBE2D3
SH3BP4,LAMTOR3
CXCR4,CXCL1
CXCR4,CXCL2
CXCR4,CXCL11
CXCR4,CXCL8
CWC22,LSM6
PLD3,CDS1
ALDH7A1,PDE5A
IL18R1,NFKB1
RAB1A,USO1
UGT2B11,ADH1B
UGT2B11,CYP2U1
CREB1,CAMK2D
SOS1,GAB1
PARN,CXCL8
PARN,EIF4E
UBA52,SMAD1
UBA52,HNRNPD
UBA52,RPL34
CASP4,EIF4E
CHEK1,CCNA2
CHEK1,MAD2L1
EIF4B,EIF4E
EIF4B,CNOT6L
MMADHC,MMAA
RPL23A,RPL34
RPL23A,ABCE1
RPL23A,MRPL1
DCC,UNC5C
NDUFA11,NDUFC1
PPP1R12A,PRKG2
PPP1R12A,PPP3CA
NPNT,ITGB1
NPNT,ITGA8
NPNT,FREM1
NPNT,FRAS1
NFATC1,PPP3CA
NFATC1,DAPP1
DCUN1D4,COPS4
DCUN1D4,UBE2D3
ENSG00000239789,MRPS18C
GLI2,INTU
SCFD1,SEC24D
SCFD1,USO1
ABHD5,CDS1
PSMC2,HNRNPD
PSMC2,NFKB1
PTPN6,PTPN13
BCAR1,SPP1
REPS1,BMP2K
EFTUD2,LSM6
PPP6C,SEC24D
PPP6C,SEC24B
PPAPDC1B,CDS1
NDUFS1,NDUFC1
RPS18,MRPL1
RPS18,ABCE1
RPS18,RPL34
FGFR1,FGF2
SESN1,LAMTOR3
NKIRAS1,NFKB1
PLA2G10,PLA2G12A
KIFC1,CCNA2
COMMD5,COPS4
ANAPC7,ANAPC10
ANAPC7,MAD2L1
MAPK9,MAPK10
PTPN13,FASLG
PTPN13,PTPN18
PTPN13,FAF1
PTPN13,EPHB2
PTPN13,PTPN20A
PTPN13,PLEKHA2
PTPN13,PTPN2
PTPN13,EPHB1
PTPN13,CADM1
PTPN13,SRC
PTPN13,RAPGEF6
PTPN13,PTPN7
PTPN13,LCK
PTPN13,PLEKHA1
PTPN13,CASP8
PTPN13,FGR
PTPN13,FADD
PTPN13,PTPN9
PTPN13,PTPN11
PTPN13,DAXX
PTPN13,PTPN5
PTPN13,PTPN12
PTPN13,BLK
PTPN13,HCK
PTPN13,LYN
PTPN13,PTPN6
PTPN13,FAS
PTPN13,YES1
PTPN13,PTPN23
PTPN13,FYN
PTPN13,SMAD3
PTPN13,PTK2
PTPN13,CASP10
PTPN13,PTPN4
PTPN13,PTPN14
PTPN13,APC
PTPN13,EFNB1
LPAR3,CXCL8
LPAR3,NFKB1
MAN2B1,MANBA
MECP2,CAMK2D
GNL3,SDAD1
GNL3,ABCE1
TSPAN14,TSPAN5
IK,LSM6
C4A,CFI
PSMD13,NFKB1
PSMD13,HNRNPD
NTF3,GAB1
COG6,RAB33B
UBE2W,UBE2D3
ACTL6A,COPS4
RPL17,RPL34
E2F5,CCNA2
E2F5,LIN54
EXOSC6,EXOSC9
CD44,SPP1
CD44,FGF2
TNF,CXCL10
TNF,CXCL1
TNF,CXCL2
TNF,CXCL8
TNF,NFKB1
DDOST,OSTC
SATB1,CASP6
CNOT10,CNOT6L
CNOT10,EIF4E
TEN1-CDK3,CCNA2
RHOA,HPGDS
RHOA,RAP1GDS1
RHOA,SPP1
HNRNPF,HNRNPD
HNRNPF,HNRNPDL
RPL9,MRPL1
RPL9,ABCE1
RPL9,RPL34
SNRPE,NUP54
SNRPE,LSM6
PNPT1,EXOSC9
CBLL1,METTL14
SHC1,GAB1
MYD88,NFKB1
PAN2,EIF4E
PSMC6,NFKB1
PSMC6,HNRNPD
KBTBD8,KLHL8
BMPR1B,SMAD1
SEPT4,SNCA
WEE1,CCNA2
RPF2,SDAD1
WDR83,LAMTOR3
RPL6,RPL34
ARRB2,MAPK10
ARRB2,CXCL8
ARRB2,NFKB1
POLR2F,METTL14
DOCK4,RPL34
RACGAP1,CCNA2
RACGAP1,MAD2L1
RPL36A,RPL34
DNAJB14,HSPA8
NOP14,SDAD1
INPP5D,GAB1
INPP5D,INPP4B
CNEP1R1,PPP3CA
CDC45,CCNA2
CDC45,MAD2L1
ESRP1,CAMK2D
TMED7,SEC24B
TMED7,SEC24D
SUMO2,NUP54
UNC5C,SRC
UNC5C,NTN1
UNC5C,YES1
UNC5C,DCC
UNC5C,PTK2
UNC5C,FYN
PAPSS2,PAPSS1
TRPV4,PKD2
EPN1,PPP3CA
COX20,COX18
DNAJC7,HSPA4L
EBNA1BP2,GAR1
EBNA1BP2,SDAD1
HRAS,SPRY1
HRAS,BTC
HRAS,GAB1
HRAS,MAPK10
HRAS,FGF2
HRAS,CAMK2D
HRAS,AREG
RFC5,RCHY1
VWA9,INTS12
PRKCA,NFKB1
GDNF,GAB1
ARRB1,MAPK10
ARRB1,CXCL10
ARRB1,CXCL8
SUMO3,NUP54
SYNJ1,INPP4B
SYNJ1,PPP3CA
SCN5A,ANK2
FGFR2,FGF2
FGFR2,GAB1
MAP2K4,MAPK10
STMN1,CAMK2D
CDK3,CCNA2
FAM131B,CAMK2D
LSM5,LSM6
MAD2L1BP,MAD2L1
MARK3,CAMK2D
TOP2A,CCNA2
TOP2A,MAD2L1
TOP2A,NUP54
TOP2A,LIN54
EPGN,BTC
MRVI1,PRKG2
IL10,CXCL8
IL10,FGF2
IL10,CXCL10
IL10,CXCL1
IL10,CXCL2
PPP2R5C,PPP3CA
SNRPB,NUP54
SNRPB,LSM6
MMS19,ABCE1
FREM1,NPNT
FREM1,FRAS1
RPL10,RPL34
NLE1,SDAD1
STXBP2,ANXA5
CDKN1C,CCNA2
INPP5K,INPP4B
HJURP,CCNA2
PPP6R1,SEC24D
PPP6R1,SEC24B
INTS2,INTS12
BDNF,GAB1
BDNF,MAPK10
BDNF,CASP6
RPS24,RPL34
RPS24,ABCE1
PSMA1,NFKB1
PSMA1,HNRNPD
DCTN4,ANK2
CBFB,SPP1
CBFB,PF4
INTS12,VWA9
INTS12,INTS10
INTS12,INTS5
INTS12,INTS6
INTS12,INTS7
INTS12,INTS4
INTS12,INTS2
INTS12,INTS9
INTS12,INTS3
INTS12,CPSF3L
INTS12,ASUN
INTS12,INTS1
INTS12,INTS8
POLR2H,METTL14
DCAF11,COPS4
C4B,CFI
KIAA1549,CAMK2D
GOLGA2,USO1
EIF4G1,HNRNPD
EIF4G1,EIF4E
EIF4G1,CASP6
EIF4G1,CNOT6L
RPL32,RPL34
CFB,CFI
NDUFA5,NDUFC1
RPSAP58,RPL34
NCK1,GAB1
GOLIM4,RAB33B
MRPL47,MRPL1
MRPL47,MRPS18C
SLBP,EIF4E
SLBP,NUP54
DCUN1D2,COPS4
DCUN1D2,UBE2D3
NAA10,NAA15
PPP2R5D,EIF4E
MRPS22,MRPS18C
RPL37A,RPL34
MCM10,CCNA2
NDUFA3,NDUFC1
PPP2CA,PPP3CA
PPP2CA,CXCL8
PSMD6,NFKB1
PSMD6,HNRNPD
PARK7,SNCA
FTO,METTL14
NDUFA6,NDUFC1
RPL29,RPL34
BRCA1,ANAPC10
BRCA1,UBE2D3
NMD3,SDAD1
NDUFB2,NDUFC1
RPL35A,RPL34
TRPC1,PKD2
PPIA,PPP3CA
EIF1,ABCE1
EIF1,EIF4E
COMMD2,COPS4
NUDT5,NUDT9
CDK5,CCNI
PIGP,PYURF
FLNB,HERC5
RPL23,MRPL1
RPL23,RPL34
RPL23,ABCE1
BAG1,HSPA4L
MRPS14,MRPS18C
MRPS14,MRPL1
MAML3,PTCRA
MAML3,HEY2
MAML3,HES5
MAML3,NOTCH3
MAML3,RBPJ
MAML3,DLGAP5
MAML3,HEY1
MAML3,FABP7
MAML3,MYC
MAML3,NOTCH4
MAML3,HES1
MAML3,HEYL
MAML3,NOTCH1
ANAPC13,ANAPC10
ANAPC13,MAD2L1
FNIP1,LAMTOR3
LSM6,PRPF3
LSM6,DCP2
LSM6,SF3B1
LSM6,DHX16
LSM6,LSM7
LSM6,SNRPB2
LSM6,SF3A3
LSM6,RNF113A
LSM6,PRPF6
LSM6,LSM8
LSM6,PRPF8
LSM6,DDX23
LSM6,SNRPA1
LSM6,SNRPF
LSM6,SNIP1
LSM6,WBP4
LSM6,SNRNP40
LSM6,DCP1B
LSM6,SF3B3
LSM6,EDC3
LSM6,SNRPB
LSM6,SNRNP200
LSM6,DCP1A
LSM6,PATL1
LSM6,DDX6
LSM6,IK
LSM6,MFAP1
LSM6,SART3
LSM6,SRRM2
LSM6,LSM4
LSM6,LSM3
LSM6,PRPF4
LSM6,RBMX2
LSM6,PRPF38A
LSM6,SNRPG
LSM6,SF3B5
LSM6,SNRPD3
LSM6,SF3A1
LSM6,LSM5
LSM6,EDC4
LSM6,EFTUD2
LSM6,SF3A2
LSM6,CWC22
LSM6,SNRPE
LSM6,USP39
LSM6,PRPF31
LSM6,BUD13
LSM6,SNRPD1
LSM6,NAA38
LSM6,CRNKL1
LSM6,MAGOHB
LSM6,SMU1
LSM6,SF3B4
LSM6,SNRPN
LSM6,SNRPD2
LSM6,CWC27
LSM6,TXNL4A
LSM6,PHF5A
LSM6,XRN1
LSM6,LSM1
LSM6,SART1
LSM6,CLNS1A
LSM6,SF3B2
LSM6,ZMAT2
LSM6,LSM2
LSM6,NHP2L1
LSM6,PPIH
ACSL1,ELOVL6
LARP7,CDK9
LARP7,ZC3H8
LARP7,HEXIM2
LARP7,CCNT1
LARP7,SART3
LARP7,MEPCE
LARP7,HEXIM1
MRPL36,MRPS18C
MRPL36,MRPL1
DAPP1,PLCG2
DAPP1,PIK3CA
DAPP1,FGR
DAPP1,CD79B
DAPP1,FYN
DAPP1,LCK
DAPP1,BCR
DAPP1,SRC
DAPP1,MAP3K1
DAPP1,YES1
DAPP1,BCL6
DAPP1,MAP4K1
DAPP1,CD79A
DAPP1,NFATC1
DAPP1,LYN
DAPP1,BLK
DAPP1,HCK
NDUFA13,NDUFC1
LAMTOR3,GATSL2
LAMTOR3,WDR24
LAMTOR3,TSC2
LAMTOR3,PRKAG1
LAMTOR3,MAF1
LAMTOR3,WDR83
LAMTOR3,SEC13
LAMTOR3,SH3BP4
LAMTOR3,RRAGA
LAMTOR3,AKT1
LAMTOR3,C12orf66
LAMTOR3,SLC38A9
LAMTOR3,LAMTOR5
LAMTOR3,EIF4EBP1
LAMTOR3,SEH1L
LAMTOR3,MAP2K1
LAMTOR3,MAPK1
LAMTOR3,LAMTOR2
LAMTOR3,ITFG2
LAMTOR3,FNIP2
LAMTOR3,C7orf60
LAMTOR3,LAMTOR4
LAMTOR3,SZT2
LAMTOR3,NPRL2
LAMTOR3,EIF4E
LAMTOR3,RPS6KB1
LAMTOR3,SESN1
LAMTOR3,MIOS
LAMTOR3,RRAGB
LAMTOR3,RPTOR
LAMTOR3,FLCN
LAMTOR3,FNIP1
LAMTOR3,PRKAB1
LAMTOR3,KPTN
LAMTOR3,SESN2
LAMTOR3,NPRL3
LAMTOR3,RRAGC
LAMTOR3,WDR59
LAMTOR3,DEPDC5
LAMTOR3,RRAGD
LAMTOR3,TSC1
LAMTOR3,MAPK3
LAMTOR3,GATSL3
LAMTOR3,LAMTOR1
MRPS30,MRPS18C
PRPS1L1,NUDT9
NEDD4,UBE2D3
CNOT6L,PABPC1
CNOT6L,RQCD1
CNOT6L,TOB1
CNOT6L,EIF4G1
CNOT6L,CNOT4
CNOT6L,CNOT11
CNOT6L,CNOT10
CNOT6L,EIF4A3
CNOT6L,CNOT7
CNOT6L,CNOT8
CNOT6L,PAIP1
CNOT6L,EIF4B
CNOT6L,CNOT3
CNOT6L,CPEB3
CNOT6L,CNOT2
CNOT6L,CNOT1
CNOT6L,TNKS1BP1
CNOT6L,EIF4A1
CNOT6L,CNOT6
CNOT6L,EIF4E
CNOT6L,EIF4A2
COX18,COX20
COX18,CYCS
INPP4B,PIK3C2B
INPP4B,OCRL
INPP4B,INPP5E
INPP4B,INPP5F
INPP4B,PIK3R3
INPP4B,SACM1L
INPP4B,PIK3R2
INPP4B,SYNJ1
INPP4B,PIK3C2G
INPP4B,IMPAD1
INPP4B,INPPL1
INPP4B,PIKFYVE
INPP4B,FIG4
INPP4B,MTMR14
INPP4B,INPP5D
INPP4B,SYNJ2
INPP4B,PIK3C2A
INPP4B,INPP5B
INPP4B,PIK3C3
INPP4B,MTMR3
INPP4B,PIK3R1
INPP4B,INPP5K
INPP4B,MTM1
INPP4B,INPP5A
INPP4B,INPP1
INPP4B,PTEN
EIF4E,NUP160
EIF4E,NUP98
EIF4E,MAPK14
EIF4E,PAN3
EIF4E,CASP4
EIF4E,LAMTOR1
EIF4E,PSMC4
EIF4E,EIF4EBP2
EIF4E,RRAGD
EIF4E,RRAGC
EIF4E,EIF4A2
EIF4E,EIF4EBP1
EIF4E,RAE1
EIF4E,NUP62
EIF4E,TNRC6A
EIF4E,RHEB
EIF4E,DDX3X
EIF4E,NUP210
EIF4E,NUP43
EIF4E,CASP2
EIF4E,CNOT6
EIF4E,NUP54
EIF4E,LAMTOR3
EIF4E,EIF2S2
EIF4E,NUP133
EIF4E,XPO5
EIF4E,DICER1
EIF4E,TARBP2
EIF4E,SLBP
EIF4E,PTBP2
EIF4E,CASP7
EIF4E,EIF4A1
EIF4E,NUP35
EIF4E,NUP93
EIF4E,NUP85
EIF4E,PARN
EIF4E,EIF4ENIF1
EIF4E,NUP107
EIF4E,ZCCHC6
EIF4E,SLC38A9
EIF4E,LAMTOR5
EIF4E,DHX9
EIF4E,PTBP1
EIF4E,PML
EIF4E,CNOT1
EIF4E,CASP6
EIF4E,CNOT2
EIF4E,MTOR
EIF4E,RNMT
EIF4E,PPP2R5D
EIF4E,NUP153
EIF4E,NUP37
EIF4E,LSM14A
EIF4E,LIMD1
EIF4E,MKNK1
EIF4E,CASP10
EIF4E,CYFIP1
EIF4E,EIF4G2
EIF4E,CPEB1
EIF4E,EIF4EBP3
EIF4E,RRAGB
EIF4E,AGO1
EIF4E,CNOT3
EIF4E,EIF3A
EIF4E,EIF4B
EIF4E,DDX6
EIF4E,CASP3
EIF4E,MAPK11
EIF4E,PAIP1
EIF4E,EIF2S3
EIF4E,EIF3B
EIF4E,NUP155
EIF4E,UPF1
EIF4E,MLST8
EIF4E,NUPL2
EIF4E,SEH1L
EIF4E,NUP214
EIF4E,EIF4H
EIF4E,DCP2
EIF4E,SEC13
EIF4E,RRAGA
EIF4E,EIF2S1
EIF4E,YWHAB
EIF4E,RPS6KB1
EIF4E,NUP88
EIF4E,FMR1
EIF4E,CNOT8
EIF4E,NUP205
EIF4E,LAMTOR2
EIF4E,NCBP2
EIF4E,FKBP1A
EIF4E,RPTOR
EIF4E,CNOT10
EIF4E,PAN2
EIF4E,CASP9
EIF4E,CNOT7
EIF4E,EIF4E2
EIF4E,CNOT11
EIF4E,FAM103A1
EIF4E,CASP8
EIF4E,CNOT4
EIF4E,NDC1
EIF4E,EIF4G1
EIF4E,NUP50
EIF4E,ZCCHC11
EIF4E,C17orf85
EIF4E,CASP1
EIF4E,AKT1S1
EIF4E,EIF1
EIF4E,NCBP1
EIF4E,RANBP2
EIF4E,CNOT6L
EIF4E,RQCD1
EIF4E,NUPL1
EIF4E,RPS6
EIF4E,PABPC1
EIF4E,AGO2
EIF4E,EIF4G3
EIF4E,LAMTOR4
EIF4E,TPR
EIF4E,NGDN
ADH1C,CYP26A1
ADH1C,CYP27C1
ADH1C,BCO1
ADH1C,ALDH2
ADH1C,AOX1
ADH1C,CYP2E1
ADH1C,ADH1B
ADH1C,LRAT
ADH1C,RETSAT
OSTC,RPN2
OSTC,STT3A
OSTC,DAD1
OSTC,MAGT1
OSTC,SSR4
OSTC,KRTCAP2
OSTC,STT3B
OSTC,OST4
OSTC,TMEM258
OSTC,RPN1
OSTC,SSR3
OSTC,PRKX
OSTC,DDOST
RNF4,UBE2D3
SMAD1,TGFBR1
SMAD1,PPP1CA
SMAD1,BMP4
SMAD1,UBA52
SMAD1,SMAD5
SMAD1,TGFBR2
SMAD1,BMPR1B
SMAD1,SKI
SMAD1,TGFB1
SMAD1,UBB
SMAD1,NKX2-5
SMAD1,ACVR2A
SMAD1,MAPK1
SMAD1,CTDSPL
SMAD1,BMP2
SMAD1,GATA4
SMAD1,ACVR2B
SMAD1,MAPK3
SMAD1,ATF2
SMAD1,CTDSP2
SMAD1,BMP6
SMAD1,UBE2D3
SMAD1,HFE2
SMAD1,AMHR2
SMAD1,LEMD3
SMAD1,UBC
SMAD1,ACVRL1
SMAD1,SMAD7
SMAD1,YAP1
SMAD1,BMPR1A
SMAD1,ENG
SMAD1,RPS27A
SMAD1,SMURF1
SMAD1,AMH
SMAD1,PPM1A
SMAD1,TGFB2
SMAD1,RUNX2
SMAD1,CTCF
SMAD1,NUP214
SMAD1,SMURF2
SMAD1,SMAD6
SMAD1,BMPR2
SMAD1,PPP1R15A
SMAD1,RGMA
SMAD1,GDF2
SMAD1,ACVR1
SMAD1,BMP7
SMAD1,CAV1
SMAD1,TGFB3
SMAD1,RGMB
SMAD1,ZFYVE16
SMAD1,SMAD2
SMAD1,SMAD9
SMAD1,UBE2D1
SMAD1,CTDSP1
SMAD1,SMAD4
TNIP3,TNFAIP3
ERBB2IP,BTC
WNT8A,DKK2
ANAPC4,MAD2L1
ANAPC4,ANAPC10
GNB2L1,RPL34
GNB2L1,ABCE1
MRPS27,MRPS18C
CXCL2,CCL3
CXCL2,CCL22
CXCL2,CCL20
CXCL2,IL10
CXCL2,CXCL1
CXCL2,CXCL10
CXCL2,CCL3L3
CXCL2,CSF2
CXCL2,TNF
CXCL2,CXCL3
CXCL2,IL12B
CXCL2,LIF
CXCL2,CCL2
CXCL2,CCL4
CXCL2,IL1A
CXCL2,CXCR1
CXCL2,CCL5
CXCL2,RELA
CXCL2,IL1B
CXCL2,CXCR2
CXCL2,CXCR4
CXCL2,IL6
CXCL2,CSF3
CXCL2,IL18
CXCL2,IL12A
CEP192,PLK4
WDR1,ANXA5
TOB1,CNOT6L
PIK3R1,GAB1
PIK3R1,INPP4B
PIK3R1,NFKB1
RPL30,RPL34
UBE2V2,UBE2D3
RPL26L1,RPL34
CETN3,MAD2L1
ANGPT1,NFKB1
PBK,CCNA2
PBK,MAD2L1
SEC24B,CFTR
SEC24B,STX5
SEC24B,PDCD6
SEC24B,ANKRD28
SEC24B,SLC6A4
SEC24B,SEC16A
SEC24B,LMAN1
SEC24B,SEC24D
SEC24B,SEC23A
SEC24B,SEC31B
SEC24B,PPP6R1
SEC24B,USO1
SEC24B,SEC13
SEC24B,PPP6C
SEC24B,SAR1B
SEC24B,PEF1
SEC24B,MIA3
SEC24B,SEC24C
SEC24B,GOLPH3
SEC24B,TMED7
SEC24B,SAR1A
SEC24B,SEC31A
SEC24B,KLHL12
SEC24B,SEC23B
SEC24B,PPP6R3
SEC24B,SYS1
SEC24B,SEC22B
SEC24B,BET1
SEC24B,SEC24A
SEC24B,GOSR2
SEC24B,PREB
LYN,BANK1
LYN,DAPP1
LYN,NFKB1
LYN,CXCL8
LYN,SNCA
LYN,PTPN13
GRIA1,CAMK2D
INTS9,INTS12
CCNE2,CCNA2
RPS20,RPL34
RPS20,ABCE1
RPS20,MRPL1
MYBL1,LIN54
STK3,RASSF6
EIF3H,ABCE1
ENY2,MAD2L1
INTS8,INTS12
HDAC2,SMARCA5
HDAC2,TET2
HDAC2,NFKB1
CNOT8,EIF4E
CNOT8,CNOT6L
UQCRB,NDUFC1
IKBKB,NFKB1
MRPL22,MRPL1
MRPL22,MRPS18C
API5,FGF2
NTRK1,GAB1
NTRK1,FGF2
HSF1,CAMK2D
POU2F2,NFKB1
EIF3F,ABCE1
TYK2,NFKB1
CAPN1,SNCA
HSPA8,SNCA
HSPA8,HSPA4L
HSPA8,HNRNPD
HSPA8,NUP54
HSPA8,DNAJB14
PIGY,PYURF
MANF,ANXA5
CASP1,EIF4E
BBIP1,BBS12
BBIP1,BBS7
CRYAB,SNCA
TRAF6,NFKB1
TRAF6,UBE2D3
TRAF6,TIFA
TRAF6,MAPK10
EIF4G2,EIF4E
EIF4G2,CASP6
CLNS1A,LSM6
H2AFX,LEF1
INTS4,INTS12
CDC27,MAD2L1
CDC27,ANAPC10
RPS25,ABCE1
RPS25,RPL34
FAU,RPL34
FAU,MRPL1
FAU,ABCE1
POLN,HELQ
RPS13,ABCE1
RPS13,RPL34
EIF3M,ABCE1
EIF3M,COPS4
DICER1,EIF4E
TNKS1BP1,CNOT6L
HIF1A,UBE2D3
COPS7A,COPS4
BBS12,TTC8
BBS12,CCT8
BBS12,BBS2
BBS12,CCT2
BBS12,TCP1
BBS12,MKKS
BBS12,BBS1
BBS12,BBS7
BBS12,BBS10
BBS12,CCT3
BBS12,BBS9
BBS12,BBIP1
BBS12,BBS5
BBS12,BBS4
CUL7,ANAPC10
ANAPC15,ANAPC10
ANAPC15,MAD2L1
ARF1,USO1
PSMD9,HNRNPD
PSMD9,NFKB1
CYP2E1,ADH5
CYP2E1,ADH1C
CYP2E1,ADH1B
CYP2E1,CYP2U1
NDUFC1,NDUFA6
NDUFC1,USMG5
NDUFC1,NDUFA3
NDUFC1,NDUFB2
NDUFC1,MT-ND4L
NDUFC1,NDUFS8
NDUFC1,MT-ND2
NDUFC1,NDUFB11
NDUFC1,NDUFA9
NDUFC1,UQCR10
NDUFC1,MT-ND4
NDUFC1,NDUFA4
NDUFC1,NDUFS2
NDUFC1,UQCR11
NDUFC1,NDUFB8
NDUFC1,NDUFS7
NDUFC1,NDUFS5
NDUFC1,NDUFA8
NDUFC1,MT-ND6
NDUFC1,NDUFAB1
NDUFC1,UQCRQ
NDUFC1,MT-ND1
NDUFC1,NDUFA2
NDUFC1,NDUFB9
NDUFC1,NDUFA7
NDUFC1,NDUFS6
NDUFC1,NDUFA11
NDUFC1,NDUFV1
NDUFC1,MT-ND3
NDUFC1,NDUFB7
NDUFC1,NDUFS3
NDUFC1,UQCRH
NDUFC1,CYC1
NDUFC1,NDUFA10
NDUFC1,NDUFS1
NDUFC1,NDUFB5
NDUFC1,NDUFA13
NDUFC1,MT-ND5
NDUFC1,NDUFB1
NDUFC1,UQCRB
NDUFC1,NDUFA1
NDUFC1,NDUFAF1
NDUFC1,NDUFS4
NDUFC1,NDUFC2
NDUFC1,NDUFV3
NDUFC1,NDUFB4
NDUFC1,NDUFB10
NDUFC1,NDUFB3
NDUFC1,COX5A
NDUFC1,NDUFB6
NDUFC1,NDUFV2
NDUFC1,UQCRFS1
NDUFC1,NDUFA12
NDUFC1,NDUFA5
UBC,SMAD1
UBC,UBE2D3
UBC,HNRNPD
CCR3,CXCL10
CCR3,CXCL11
ITGAM,NFKB1
SALL3,COQ2
ORC4,CCNA2
SMAD5,SMAD1
SMAD5,UBE2D3
CDCA3,CCNA2
TET2,CXXC4
TET2,EBF1
TET2,DNMT3A
TET2,HDAC2
TET2,NANOG
TET2,ASXL1
TET2,FOXO3
TET2,OGT
TET2,WT1
TET2,SPI1
HIST4H4,SMARCA5
KLHL13,KLHL8
TMEM258,OSTC
LPAR2,CXCL8
LPAR2,NFKB1
NUP153,EIF4E
NUP153,NUP54
NUP153,HSPA4L
NUP153,MAD2L1
POLR1B,SDAD1
POLR1B,GAR1
OTUB1,UBE2D3
USO1,GBF1
USO1,STX5
USO1,SEC24B
USO1,CCNB1
USO1,ARF1
USO1,GOLGA2
USO1,YKT6
USO1,GOLGB1
USO1,RAB1A
USO1,CCNB2
USO1,TRAPPC3
USO1,SCFD1
USO1,RAB1B
USO1,COPB1
USO1,CDK1
USO1,COG2
USO1,TRAPPC1
USO1,GORASP1
USO1,STX17
USO1,SEC13
USO1,COPA
USO1,GOSR2
