protein1,protein2
BARD1,UBE2D3
WDR12,ABCE1
ITGAV,FGF2
ITGAV,SPP1
ASUN,INTS12
MNAT1,CCNA2
TRMT5,TRMT10A
CCND2,CCNA2
PSMC1,NFKB1
PSMC1,HNRNPD
GALC,SGMS2
LRP6,DKK2
LMNB1,CASP6
SNCAIP,SNCA
NUP133,EIF4E
NUP133,NUP54
NUP133,HSPA4L
LPCAT3,CDS1
UBE2K,UBE2D3
PPP2R5A,PPP3CA
PPP2R5A,ANK2
PSMA6,NFKB1
PSMA6,HNRNPD
MAN2A1,RAB33B
NDC80,MAD2L1
NDC80,CCNA2
SLC6A4,SEC24B
UTP6,EXOSC9
PSMD11,NFKB1
PSMD11,HNRNPD
ALDH2,ADH1B
ALDH2,ADH1C
ALDH2,ADH5
NAA25,NAA15
PDGFRB,GAB1
ANAPC5,MAD2L1
ANAPC5,ANAPC10
EIF3J,ABCE1
RAB11A,CXCL8
CCNT1,AFF1
CCNT1,LARP7
CCNT1,CCNA2
MARS,AIMP1
PIK3C3,INPP4B
MCM4,CCNA2
MCM4,MAD2L1
RBL2,CCNA2
RBL2,LIN54
CACNG4,CAMK2D
WDR59,LAMTOR3
SMAD7,SMAD1
SMAD2,UBE2D3
SMAD2,SMAD1
DNAJB6,HSPA4L
RHEB,EIF4E
PSMB1,NFKB1
PSMB1,HNRNPD
PKMYT1,CCNA2
PKD1,PKD2
TCEB2,COPS4
AXIN1,LEF1
CREBBP,LEF1
CREBBP,CXCL8
CREBBP,NFKB1
SMURF2,UBE2D3
SMURF2,SMAD1
COQ9,COQ2
RPL8,RPL34
ATP4A,PPA2
CCNE1,CCNA2
IMPAD1,PAPSS1
IMPAD1,INPP4B
KAL1,FGF2
TEP1,GAR1
PIK3R3,INPP4B
PGS1,CDS1
ELL,AFF1
PRKX,OSTC
RRAGB,LAMTOR3
RRAGB,EIF4E
SAMHD1,CCNA2
E2F3,CCNA2
GNA15,CXCL8
GAB1,ARPC2
GAB1,EGFR
GAB1,FGFR3
GAB1,RAB4A
GAB1,GDNF
GAB1,JAK2
GAB1,GAB2
GAB1,PIK3CA
GAB1,MAP2K1
GAB1,FRS2
GAB1,EPO
GAB1,WASL
GAB1,PRKACA
GAB1,RAP1A
GAB1,FGFR2
GAB1,KITLG
GAB1,HRAS
GAB1,IL6R
GAB1,IL6
GAB1,MAPK3
GAB1,GRAP2
GAB1,PLCG1
GAB1,ACTR3
GAB1,NCK2
GAB1,GRB2
GAB1,CRK
GAB1,RAPGEF1
GAB1,MAPK8
GAB1,CSK
GAB1,PXN
GAB1,PIK3R1
GAB1,EGF
GAB1,ROCK1
GAB1,RAP1B
GAB1,PDGFRB
GAB1,NOS3
GAB1,NTRK1
GAB1,EPOR
GAB1,HGF
GAB1,PTPN2
GAB1,BDNF
GAB1,ARPC3
GAB1,MAPK1
GAB1,SOS1
GAB1,IL6ST
GAB1,ERBB2
GAB1,NGF
GAB1,NTRK2
GAB1,AKT1
GAB1,INPP5D
GAB1,A1BG
GAB1,JAK1
GAB1,KDR
GAB1,LPAR1
GAB1,SRC
GAB1,NTF3
GAB1,HCK
GAB1,RAB4B
GAB1,ARPC5
GAB1,MET
GAB1,PIK3CB
GAB1,GNAI3
GAB1,PAK4
GAB1,CRKL
GAB1,PTPN11
GAB1,PAG1
GAB1,SDC2
GAB1,RAC1
GAB1,KIT
GAB1,VEGFA
GAB1,NTRK3
GAB1,NCK1
GAB1,GFRA1
GAB1,NTF4
GAB1,SHC1
GAB1,GNAI1
GAB1,RET
MAPK3,GAB1
MAPK3,FGF2
MAPK3,LAMTOR3
MAPK3,SMAD1
MAPK3,NFKB1
MAPK3,HERC5
MAP3K8,NFKB1
PLD2,SNCA
PLD2,CDS1
A1BG,GAB1
KIF18A,MAD2L1
DGCR8,METTL14
PPM1F,CAMK2D
UBE2R2,UBE2D3
ACTR3,GAB1
DDX18,ABCE1
DDX18,SDAD1
DDX18,GAR1
EP300,CXCL8
EP300,NFKB1
EP300,LEF1
IL1A,CXCL10
IL1A,CXCL1
IL1A,CXCL2
IL1A,NFKB1
IL1A,CXCL8
IL1B,CXCL1
IL1B,CXCL2
IL1B,CXCL10
IL1B,CXCL8
IL1B,NFKB1
SPTBN4,ANK2
ASF1B,CCNA2
NOTCH3,MAML3
COMMD9,COPS4
BIRC3,UBE2D3
BIRC3,CASP6
MTIF2,MRPS18C
ACVR1,SMAD1
IFIH1,UBE2D3
PNO1,EXOSC9
SNRNP40,LSM6
PTPN4,PTPN13
EPAS1,UBE2D3
SGOL1,CCNA2
NDUFS3,NDUFC1
IL7,IL15
POLR1A,SDAD1
KDR,FGF2
KDR,GAB1
PIK3CA,GAB1
PIK3CA,DAPP1
PIK3CA,NFKB1
CTCF,SMAD1
CBL,UBE2D3
CBL,SPRY1
GPC1,FGF2
GPC1,HPSE
ATF2,SMAD1
ATF2,MAPK10
MCM6,MAD2L1
MCM6,CCNA2
CCNT2,CCNA2
DARS,AIMP1
IL18RAP,NFKB1
NOP58,GAR1
NOP58,ABCE1
YWHAE,NFKB1
HERC6,IFIT1
HERC6,DDX60
HERC6,MX1
HERC6,ISG15
HERC6,RSAD2
HERC5,MX2
HERC5,IFI44L
HERC5,DDX58
HERC5,MX1
HERC5,PPM1B
HERC5,IRF3
HERC5,IFIT1
HERC5,JAK1
HERC5,IFI44
HERC5,MAPK3
HERC5,ARIH1
HERC5,EIF2AK2
HERC5,TRIM25
HERC5,STAT1
HERC5,FLNB
HERC5,OASL
HERC5,ISG15
HERC5,USP18
HERC5,UBE2L6
HERC5,UBA7
HERC5,IFIT3
HERC5,RSAD2
HERC5,IFIT2
PIKFYVE,INPP4B
COPS4,COMMD3
COPS4,DCAF11
COPS4,DDB1
COPS4,RBX1
COPS4,DCAF13
COPS4,ACTL6A
COPS4,COMMD10
COPS4,RBBP5
COPS4,DDA1
COPS4,TCEB2
COPS4,INO80
COPS4,WDTC1
COPS4,RBBP7
COPS4,CUL4B
COPS4,RFWD2
COPS4,INO80E
COPS4,COMMD7
COPS4,DDB2
COPS4,DCUN1D4
COPS4,COPS7A
COPS4,COMMD6
COPS4,DCUN1D2
COPS4,COPS5
COPS4,COMMD4
COPS4,CCDC22
COPS4,COPS6
COPS4,COPS7B
COPS4,DTL
COPS4,CUL3
COPS4,COPS8
COPS4,DCAF6
COPS4,MYEOV2
COPS4,DCUN1D5
COPS4,COMMD9
COPS4,GPS1
COPS4,COMMD8
COPS4,NEDD8
COPS4,DCUN1D1
COPS4,CUL2
COPS4,ACTR8
COPS4,DCAF7
COPS4,CUL1
COPS4,COMMD1
COPS4,COPS3
COPS4,RUVBL1
COPS4,WDR5
COPS4,DCAF10
COPS4,PLCG1
COPS4,COMMD5
COPS4,DCAF4
COPS4,COPS2
COPS4,EIF3M
COPS4,COMMD2
COPS4,ACTR5
COPS4,ACTB
COPS4,CUL4A
PRKG2,MRVI1
PRKG2,GUCY1B3
PRKG2,KCNMA1
PRKG2,KCNMB3
PRKG2,KRAS
PRKG2,PTS
PRKG2,KCNMB4
PRKG2,GUCY1A2
PRKG2,VASP
PRKG2,PPP1R12A
PRKG2,KCNMB1
PRKG2,GUCY1A3
PRKG2,SPR
PRKG2,ITPR1
CUL3,COPS4
CUL3,KLHL8
GUCY1B3,PRKG2
FNIP2,LAMTOR3
FGF2,HSPG2
FGF2,LIF
FGF2,NANOG
FGF2,POMC
FGF2,IL17A
FGF2,MMP2
FGF2,F11R
FGF2,IL6
FGF2,SAA1
FGF2,OSM
FGF2,FGFBP1
FGF2,STAT3
FGF2,IL10
FGF2,FGFR4
FGF2,FN1
